route_id,topsis_selected,topsis_rank,topsis_closeness,steps,horizontal_length_m,terrain_following_length_m,flight_time_s,average_ground_speed_mps,navigation_deficit_s,average_navigation_quality,visibility_deficit_s,average_visibility,energy_used_wh,battery_remaining_wh,minimum_altitude_msl_m,maximum_altitude_msl_m
4095,False,2081,0.706932667533264,47,2714.2135623730965,2718.772772093484,146.8954987398706,18.477173130944962,28.3266559234781,0.8071645750450103,5.047045160471976,0.9656419345468882,18.361937342483824,281.6380626575162,228.907470703125,253.74635314941406
4096,False,1835,0.71133892247,47,2714.2135623730965,2718.985219337702,146.89718873246633,18.476960558559806,25.168202721038917,0.8286679075467127,8.269062173450445,0.9437085063042948,18.36214859155829,281.6378514084417,228.9864501953125,253.74635314941406
4097,False,1638,0.714722663221719,47,2714.2135623730965,2719.017875264764,146.89917736463332,18.476710428649117,25.795574040292557,0.8243994656534887,7.379698207533339,0.9497635157669029,18.362397170579165,281.6376028294208,228.907470703125,253.74635314941406
4098,False,1665,0.7142471795266883,47,2714.2135623730965,2718.6520295894884,146.9004305664115,18.476552804561322,27.00079564515605,0.816196620111679,6.058866337941516,0.9587552853685994,18.362553820801438,281.63744617919855,230.23468017578125,253.74635314941406
4099,False,1743,0.7128902537819959,47,2714.2135623730965,2719.006632617008,146.90108140073878,18.47647094556682,24.938438420970645,0.8302365225417243,8.348392085778078,0.9431699752910322,18.362635175092347,281.63736482490765,228.9864501953125,253.74635314941406
4100,False,1871,0.7107336315478282,47,2714.2135623730965,2718.6863872759814,146.90139911160654,18.476430985596032,27.997557489054973,0.8094125879101793,5.09186781319938,0.9653381938906457,18.362674888950817,281.63732511104917,228.9864501953125,253.74635314941406
4101,False,1907,0.7101277589951437,47,2714.2135623730965,2718.7190432030434,146.90338774377352,18.476180870023114,28.624928808308614,0.8051445290136144,4.2025038472822756,0.9713927370101756,18.36292346797169,281.6370765320283,228.907470703125,253.74635314941406
4102,False,1474,0.7180287455122261,47,2714.2135623730965,2718.931490447261,146.90507773636924,18.475968320468336,25.46647560586943,0.826646729995469,7.424520860260744,0.9494604204656252,18.363134717046155,281.63686528295386,228.9864501953125,253.74635314941406
4103,False,1389,0.7204872480420821,47,2714.2135623730965,2718.964146374323,146.90706636853622,18.47571821742138,26.09384692512307,0.8223785446803278,6.535156894343638,0.955515026908581,18.363383296067028,281.636616703933,228.907470703125,253.74635314941406
4104,False,1969,0.7090483194223065,47,2714.2135623730965,2719.1462075166837,146.9090122293387,18.475473500127787,27.476480994146236,0.8129693980158761,5.978524587006805,0.9593045756942823,18.36362652866734,281.63637347133266,228.907470703125,253.74635314941406
